71,2021/6/27, 宝塚記念,ＧⅠ,阪神,３上,2200,芝
72,2021/7/4, ラジオＮＩＫＫＥＩ賞,ＧⅢ,福島,３歳,1800,芝
73,2021/7/4, ＣＢＣ賞,ＧⅢ,小倉,３上,1200,芝
74,2021/7/11, 七夕賞,ＧⅢ,福島,３上,2000,芝
75,2021/7/11, プロキオンステークス,ＧⅢ,小倉,３上,1700,ダ
76,2021/7/17, 函館２歳ステークス,ＧⅢ,函館,２歳,1200,芝
77,2021/7/18, トヨタ賞中京記念,ＧⅢ,小倉,３上,1800,芝
78,2021/7/18, 函館記念,ＧⅢ,函館,３上,2000,芝
79,2021/7/25, アイビスサマーＤ,ＧⅢ,新潟,３上,1000,芝
80,2021/7/31, 新潟ジャンプＳ,J・G3,新潟,３上,3250,障
81,2021/8/1, クイーンステークス,ＧⅢ,函館,３上,1800,芝
82,2021/8/8, レパードステークス,ＧⅢ,新潟,３歳,1800,ダ
83,2021/8/8, エルムステークス,ＧⅢ,函館,３上,1700,ダ
84,2021/8/15, 関屋記念,ＧⅢ,新潟,３上,1600,芝
85,2021/8/15, 小倉記念,ＧⅢ,小倉,３上,2000,芝
86,2021/8/22, ＴＶ西日本北九州記念,ＧⅢ,小倉,３上,1200,芝
87,2021/8/22, 札幌記念,ＧⅡ,札幌,３上,2000,芝
88,2021/8/28, 小倉サマージャンプ,J・G3,小倉,３上,3390,障
89,2021/8/29, 新潟２歳ステークス,ＧⅢ,新潟,２歳,1600,芝
90,2021/8/29, キーンランドカップ,ＧⅢ,札幌,３上,1200,芝
91,2021/9/4, 札幌２歳ステークス,ＧⅢ,札幌,２歳,1800,芝
92,2021/9/5, 新潟記念,ＧⅢ,新潟,３上,2000,芝
93,2021/9/5, 小倉２歳ステークス,ＧⅢ,小倉,２歳,1200,芝
94,2021/9/11, 紫苑ステークス,ＧⅢ,中山,３歳,2000,芝
95,2021/9/12, 京成杯オータムハンデ,ＧⅢ,中山,３上,1600,芝
96,2021/9/12, 産経賞セントウルＳ,ＧⅡ,中京,３上,1200,芝
97,2021/9/18, 阪神ジャンプＳ,J・G3,中京,３上,3300,障
98,2021/9/19, 関西ＴＶローズＳ,ＧⅡ,中京,３歳,2000,芝
99,2021/9/20, 朝日セントライト記念,ＧⅡ,中山,３歳,2200,芝
100,2021/9/26, 産経賞オールカマー,ＧⅡ,中山,３上,2200,芝
101,2021/9/26, 神戸新聞杯,ＧⅡ,中京,３歳,2200,芝
102,2021/10/2, シリウスステークス,ＧⅢ,中京,３上,1900,ダ
103,2021/10/3, スプリンターズＳ,ＧⅠ,中山,３上,1200,芝
104,2021/10/9, サウジアラビアＲＣ,ＧⅢ,東京,２歳,1600,芝
105,2021/10/10, 毎日王冠,ＧⅡ,東京,３上,1800,芝
106,2021/10/10, 京都大賞典,ＧⅡ,阪神,３上,2400,芝
107,2021/10/16, アイルランド府中牝馬,ＧⅡ,東京,３上,1800,芝
108,2021/10/17, 東京ハイジャンプ,J・G2,東京,３上,3110,障
109,2021/10/17, 秋華賞,ＧⅠ,阪神,３歳,2000,芝
110,2021/10/23, 富士ステークス,ＧⅡ,東京,３上,1600,芝
111,2021/10/24, 菊花賞,ＧⅠ,阪神,３歳,3000,芝
112,2021/10/30, アルテミスステークス,ＧⅢ,東京,２歳,1600,芝
113,2021/10/30, 毎日放送賞スワンＳ,ＧⅡ,阪神,３上,1400,芝
114,2021/10/31, 天皇賞,ＧⅠ,東京,３上,2000,芝
115,2021/11/6, 京王杯２歳ステークス,ＧⅡ,東京,２歳,1400,芝
116,2021/11/6, ＫＢＳファンタジーＳ,ＧⅢ,阪神,２歳,1400,芝
117,2021/11/7, アルゼンチン共和国杯,ＧⅡ,東京,３上,2500,芝
118,2021/11/7, みやこステークス,ＧⅢ,阪神,３上,1800,ダ
119,2021/11/13, 東京中日Ｓ杯武蔵野Ｓ,ＧⅢ,東京,３上,1600,ダ
120,2021/11/13, 京都ジャンプＳ,J・G3,阪神,３上,3140,障
121,2021/11/13, デイリー杯２歳Ｓ,ＧⅡ,阪神,２歳,1600,芝
122,2021/11/14, エリザベス女王杯,ＧⅠ,阪神,３上,2200,芝
123,2021/11/14, 福島記念,ＧⅢ,福島,３上,2000,芝
124,2021/11/20, 東京スポーツ杯２歳Ｓ,ＧⅢ,東京,２歳,1800,芝
125,2021/11/21, マイルチャンピオンＳ,ＧⅠ,阪神,３上,1600,芝
126,2021/11/27, ラジオＮ杯京都２歳Ｓ,ＧⅢ,阪神,２歳,2000,芝
127,2021/11/28, ジャパンカップ,ＧⅠ,東京,３上,2400,芝
128,2021/11/28, 京阪杯,ＧⅢ,阪神,３上,1200,芝
129,2021/12/4, ステイヤーズＳ,ＧⅡ,中山,３上,3600,芝
130,2021/12/4, チャレンジカップ,ＧⅢ,阪神,３上,2000,芝
131,2021/12/5, チャンピオンズカップ,ＧⅠ,中京,３上,1800,ダ
132,2021/12/11, 中日新聞杯,ＧⅢ,中京,３上,2000,芝
133,2021/12/12, カペラステークス,ＧⅢ,中山,３上,1200,ダ
134,2021/12/12, 阪神ジュベナイルＦ,ＧⅠ,阪神,２歳,1600,芝
135,2021/12/18, ターコイズステークス,ＧⅢ,中山,３上,1600,芝
136,2021/12/19, 朝日フューチュリティ,ＧⅠ,阪神,２歳,1600,芝
137,2021/12/25, 中山大障害,J・G1,中山,３上,4100,障
138,2021/12/25, 阪神カップ,ＧⅡ,阪神,３上,1400,芝
139,2021/12/26, 有馬記念,ＧⅠ,中山,３上,2500,芝
140,2021/12/28, ホープフルステークス,ＧⅠ,中山,２歳,2000,芝
